chr7	48197650	3
chr7	140476828	6
chr7	151791396	3
chr7	27130773	7
chr7	127014604	6
chr7	28892077	6
chr7	77269055	7
chr7	128399025	6
chr7	20839507	7
chr7	132958608	6
chr7	27224664	5
chr7	28726381	6
chr7	139827349	4
chr7	148457416	6
chr7	38500935	4
chr7	115313845	3
chr7	112723916	7
chr7	39504141	7
chr7	25793061	4
chr7	94372617	4
chr7	18272916	6
chr7	101840278	5
chr7	27645948	7
chr7	31191089	7
chr7	92644802	6
chr7	26685824	6
chr7	114818132	5
chr7	123508736	5
chr7	8560086	4
chr7	40027294	6
chr7	114303113	6
chr7	21469228	6
chr7	129086661	6
chr7	69153132	7
chr7	115498426	4
chr7	155493595	7
chr7	139824479	7
chr7	130037769	4
chr7	115372255	7
chr7	114990561	6
chr7	13764273	7
chr7	107114886	5
chr7	94061203	7
chr7	151807662	4
chr7	114066633	7
chr7	27004264	5
chr7	26429995	7
chr7	31378325	5
chr7	111368084	2
chr7	84636217	3
chr7	127746519	6
chr7	112724153	6
chr7	105251045	5
chr7	93974746	6
chr7	17833711	5
chr7	27140654	7
chr7	41376740	7
chr7	114297938	5
chr7	91865789	6
chr7	69559948	5
chr7	17890537	3
chr7	96621497	3
chr7	3455796	5
chr7	42051864	7
chr7	147182952	7
chr7	11151046	6
chr7	35919496	5
chr7	88847553	4
chr7	84630418	6
chr7	19173726	4
chr7	115027946	6
chr7	40886269	5
chr7	107399443	6
chr7	139615054	4
chr7	90755966	6
chr7	130875266	5
chr7	66103979	5
chr7	15805668	6
chr7	114674284	6
chr7	20821312	5
chr7	35591302	4
chr7	10685046	7
chr7	37025839	5
chr7	26887350	6
chr7	107557364	6
chr7	31045173	7
chr7	106876997	7
chr7	38500954	4
chr7	133365868	6
chr7	114515779	5
chr7	70614612	6
chr7	133647523	5
chr7	13454030	6
chr7	32919219	6
chr7	42432562	6
chr7	24240505	6
chr7	123336733	7
chr7	92461228	5
chr7	115368762	7
chr7	115029245	3
chr7	113603996	5
chr7	10899278	3
chr7	116415059	3
chr7	27452899	7
chr7	25278788	5
chr7	96463444	6
chr7	95727349	7
chr7	116374508	4
chr7	21070166	6
chr7	42102454	7
chr7	103326712	7
chr7	84577845	3
chr7	8758030	6
chr7	126173042	7
chr7	114940382	6
chr7	115372279	6
chr7	39128554	6
chr7	133228672	4
chr7	2771307	4
chr7	114052604	4
chr7	130919622	5
chr7	39125267	5
chr7	3537216	6
chr7	115024373	6
chr7	115648677	4
chr7	99051684	5
chr7	115423362	6
chr7	44916142	4
chr7	77648104	2
chr7	105332385	4
chr7	10841332	6
chr7	133207236	7
chr7	155617566	4
chr7	14274589	5
chr7	139824550	6
chr7	14489175	6
chr7	83886040	4
chr7	107398696	7
chr7	8128386	6
chr7	133739771	5
chr7	107115675	4
chr7	127395795	3
chr7	101541534	6
chr7	65419673	7
chr7	18686402	6
chr7	40696557	2
chr7	21280129	5
chr7	21920988	6
chr7	14404167	5
chr7	116926724	4
chr7	108731284	5
chr7	132693560	7
chr7	115467155	5
chr7	110319275	7
chr7	82578870	7
chr7	157672722	6
chr7	151893014	5
chr7	127014628	6
chr7	115115718	6
chr7	121988946	4
chr7	93707331	4
chr7	113639119	5
chr7	94030188	6
chr7	112724555	6
chr7	129122808	6
chr7	39538161	7
chr7	94539596	3
chr7	83632735	5
chr7	128934909	5
chr7	118538511	4
chr7	96179664	3
chr7	39447608	6
chr7	1279329	4
chr7	126612926	6
chr7	2232570	6
chr7	114794377	7
chr7	135073731	6
chr7	123334830	6
chr7	44921263	7
chr7	108464391	4
chr7	41153951	6
chr7	115368605	5
chr7	115029032	6
chr7	112724797	6
chr7	114350619	4
chr7	38816348	6
chr7	18708033	6
chr7	18195091	6
chr7	84041691	3
chr7	115515193	6
chr7	18686317	7
chr7	16102077	7
chr7	13342670	6
chr7	100253120	6
chr7	69129369	6
chr7	114052606	4
chr7	147546285	5
chr7	112783185	6
chr7	115452710	7
chr7	21550869	6
chr7	116778017	6
chr7	41050286	5
chr7	108974353	6
chr7	41692056	5
chr7	99161521	7
chr7	13934321	7
chr7	27169006	6
chr7	82207925	3
chr7	25858964	5
chr7	17833747	5
chr7	69759182	6
chr7	108288725	6
chr7	69557573	6
chr7	8667264	7
chr7	84041762	7
chr7	120074938	4
chr7	42274801	7
chr7	20821273	5
chr7	11997764	4
chr7	8480302	3
chr7	140426206	4
chr7	115114308	7
chr7	108143005	4
chr7	110997428	6
chr7	32909761	6
chr7	7812045	5
chr7	115190200	6
chr7	133811038	6
chr7	20839364	5
chr7	77268875	6
chr7	155473825	4
chr7	101723641	4
chr7	41153850	4
chr7	21550904	7
chr7	39501316	7
chr7	115034661	5
chr7	115348008	7
chr7	120308714	6
chr7	139784663	6
chr7	8758013	4
chr7	95727234	7
chr7	103828828	5
chr7	39257494	7
chr7	21003621	6
chr7	135097643	3
chr7	113474703	5
chr7	132036815	6
chr7	68254964	7
chr7	21084977	7
chr7	50333446	4
chr7	115559877	3
chr7	41692138	5
chr7	13641956	6
chr7	152823600	5
chr7	114332997	7
chr7	114624673	6
chr7	1268883	6
chr7	148498156	6
chr7	81254118	7
chr7	133811073	6
chr7	156235199	6
chr7	32909163	6
chr7	133589699	6
chr7	110360006	6
chr7	133207222	7
chr7	129915764	7
chr7	41376845	6
chr7	14039013	6
chr7	110765469	4
chr7	132717545	6
chr7	136699999	7
chr7	130049465	7
chr7	89647652	6
chr7	139416420	7
chr7	115166594	5
chr7	114044857	6
chr7	14274583	5
chr7	18560510	7
chr7	114513181	6
chr7	28115861	7
chr7	41478421	4
chr7	27592893	6
chr7	26246008	5
chr7	78531266	5
chr7	114289384	6
chr7	67801727	6
chr7	121941641	6
chr7	27210390	7
chr7	65705934	6
